"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"DIVISLAB","EQ","10-Jun-2025","6,633.00","6,644.50","6,697.00","6,611.00","6,674.00","6,674.00","6,664.12","2,88,574","1,92,30,92,563.50","30,369","1,79,402","62.17"
"DIVISLAB","EQ","11-Jun-2025","6,674.00","6,680.00","6,766.00","6,680.00","6,729.00","6,719.00","6,731.44","5,39,922","3,63,44,52,460.00","48,317","3,40,703","63.10"
"DIVISLAB","EQ","12-Jun-2025","6,719.00","6,719.00","6,862.50","6,706.00","6,707.00","6,725.00","6,790.66","6,47,651","4,39,79,76,032.00","53,391","2,41,520","37.29"
"DIVISLAB","EQ","13-Jun-2025","6,725.00","6,700.00","6,720.50","6,611.00","6,670.00","6,667.00","6,663.92","4,31,430","2,87,50,15,483.50","50,315","2,29,592","53.22"
"DIVISLAB","EQ","16-Jun-2025","6,667.00","6,632.00","6,698.00","6,615.00","6,690.50","6,687.50","6,667.68","1,66,374","1,10,93,28,666.50","20,410","78,608","47.25"
"DIVISLAB","EQ","17-Jun-2025","6,687.50","6,690.00","6,702.50","6,490.50","6,530.00","6,538.00","6,563.48","3,41,004","2,23,81,73,000.50","44,259","1,52,070","44.59"
"DIVISLAB","EQ","18-Jun-2025","6,538.00","6,548.00","6,649.00","6,513.00","6,544.00","6,549.00","6,581.60","4,47,218","2,94,34,09,495.50","34,498","2,67,038","59.71"
"DIVISLAB","EQ","19-Jun-2025","6,549.00","6,545.00","6,566.50","6,480.00","6,480.50","6,493.00","6,512.14","2,40,502","1,56,61,83,016.00","42,358","1,35,426","56.31"
"DIVISLAB","EQ","20-Jun-2025","6,493.00","6,500.00","6,602.50","6,455.50","6,561.50","6,592.00","6,551.14","5,60,932","3,67,47,43,218.00","48,814","4,27,009","76.12"
"DIVISLAB","EQ","23-Jun-2025","6,592.00","6,570.00","6,664.50","6,560.00","6,638.00","6,636.00","6,625.76","4,78,962","3,17,34,86,912.00","62,157","3,35,820","70.11"
"DIVISLAB","EQ","24-Jun-2025","6,636.00","6,680.00","6,680.00","6,555.00","6,556.50","6,565.50","6,618.17","2,70,144","1,78,78,57,793.50","39,934","1,77,817","65.82"
"DIVISLAB","EQ","25-Jun-2025","6,565.50","6,585.00","6,607.50","6,520.00","6,575.00","6,586.50","6,571.55","2,34,226","1,53,92,27,893.00","27,946","1,48,867","63.56"
"DIVISLAB","EQ","26-Jun-2025","6,586.50","6,589.00","6,628.00","6,539.00","6,601.50","6,616.00","6,594.84","4,04,238","2,66,58,84,774.50","44,088","2,76,050","68.29"
"DIVISLAB","EQ","27-Jun-2025","6,616.00","6,551.00","6,694.00","6,551.00","6,655.00","6,658.00","6,654.45","5,45,217","3,62,81,19,026.50","55,068","3,91,888","71.88"
"DIVISLAB","EQ","30-Jun-2025","6,658.00","6,680.00","6,829.00","6,666.00","6,828.00","6,809.50","6,755.21","5,99,664","4,05,08,53,261.50","61,723","3,81,830","63.67"
"DIVISLAB","EQ","01-Jul-2025","6,809.50","6,828.50","6,875.00","6,696.00","6,875.00","6,856.50","6,796.53","3,85,716","2,62,15,30,728.50","51,974","2,07,504","53.80"
"DIVISLAB","EQ","02-Jul-2025","6,856.50","6,856.50","6,885.50","6,743.00","6,867.00","6,859.50","6,820.52","4,37,491","2,98,39,14,142.00","65,697","2,41,782","55.27"
"DIVISLAB","EQ","03-Jul-2025","6,859.50","6,888.00","6,940.00","6,853.00","6,866.00","6,876.00","6,892.15","3,02,964","2,08,80,72,606.50","41,304","1,51,651","50.06"
"DIVISLAB","EQ","04-Jul-2025","6,876.00","6,880.00","6,945.00","6,870.00","6,920.00","6,906.50","6,908.54","2,43,498","1,68,22,14,740.00","26,558","1,43,597","58.97"
"DIVISLAB","EQ","07-Jul-2025","6,906.50","6,915.00","6,931.00","6,861.00","6,868.50","6,888.50","6,890.76","85,574","58,96,70,022.50","13,586","39,309","45.94"
"DIVISLAB","EQ","08-Jul-2025","6,888.50","7,002.00","7,071.50","6,911.00","6,930.00","6,938.00","6,968.38","5,31,444","3,70,33,03,954.00","54,785","1,95,677","36.82"
"DIVISLAB","EQ","09-Jul-2025","6,938.00","6,930.00","7,009.50","6,920.00","6,986.00","6,983.50","6,963.55","3,82,020","2,66,02,16,794.00","41,303","2,23,370","58.47"
"DIVISLAB","EQ","10-Jul-2025","6,983.50","6,960.00","6,982.50","6,830.00","6,830.00","6,844.50","6,883.49","1,83,664","1,26,42,49,618.50","28,617","88,815","48.36"
"DIVISLAB","EQ","11-Jul-2025","6,844.50","6,830.00","6,905.50","6,825.00","6,826.50","6,835.00","6,860.78","2,24,031","1,53,70,27,484.50","31,411","1,42,985","63.82"
